Q_TURN_LEFT,Q_STRAIGHT,Q_TURN_RIGHT
0.7708948,0.97005785,0.60972935
0.96312773,0.5942459,0.40650532
0.50494593,0.40322164,0.9140239
0.56357646,1.0250125,0.419497
1.487315,0.51770675,0.5472988
0.64051676,0.51153696,0.4572952
0.6006677,0.67022187,1.3345679
0.71319467,1.4719163,0.3849026
0.8034886,0.5783308,0.47568133
0.27699214,0.40796238,0.78773576
0.67713857,0.79013187,0.9526572
0.6894578,0.97902447,0.5422202
0.7474424,1.3619369,0.60521704
1.41593,0.6522335,0.5734881
0.5202958,0.5114469,0.6151288
0.55729735,0.73125625,1.3726125
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6303671,0.49246505,0.47679877
0.4752654,0.6986708,1.3378004
0.6579881,1.2703016,0.7583576
1.2840621,0.6106141,0.49499834
0.6989519,0.78107256,1.112802
0.73047364,0.98289114,0.6461335
0.7589453,0.5203872,0.49340546
0.562984,0.64230704,0.89069796
0.51361203,0.6701562,1.385405
0.6442212,1.1180718,0.64343154
1.125382,0.67691547,0.53398705
0.67273563,0.39345536,0.45584562
0.61508286,0.5167028,0.59121305
0.6877702,1.0299947,0.45939738
0.7467296,0.836807,0.670678
0.79739434,0.5732056,0.5895528
0.823091,0.63086075,-0.3972331
0.8754885,0.47806087,-0.53518564
0.4245821,0.5228172,-0.5639544
0.6912013,0.5906641,-0.35264134
1.2930708,0.6693004,-0.5231298
0.6076156,0.32030818,-0.47985065
0.28621575,0.55155796,-0.39279178
0.6020867,1.2943045,0.17768575
0.7618313,0.35300708,-0.6101139
0.4199342,0.53877294,-0.54665416
0.7088523,0.41389802,-0.40558842
1.0573162,0.69029284,-0.8922473
0.67393786,1.4602624,0.08844055
1.5779121,0.5062481,-0.61553127
0.20426196,0.40935642,-0.34266144
0.34122682,0.62161225,-0.44346443
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.13988072,0.21457809,-0.28093034
0.3894558,0.5874031,-0.3900067
0.5877894,1.1465144,0.23592329
1.1065265,0.71830535,-0.90853
0.7002964,0.58302796,-0.3893241
0.7148495,0.8960218,-0.47142407
0.67384076,0.6080685,-0.71882266
0.5511703,0.4395586,-0.500677
0.21084195,0.5768873,-0.2
0.6983635,1.4758861,0.068800755
1.2139984,0.5903325,-0.598514
0.35918266,0.15924841,-0.3946387
0.6352067,0.40945056,-0.5459262
0.35414737,0.6492376,-0.28605026
0.7212262,0.9705716,-0.31254956
0.7515259,0.5962194,-0.5918108
-0.39570743,0.4145804,0.63670266
-0.3194877,0.30898333,0.61111945
-1.0188175,0.6344828,0.6581687
-0.41500697,0.99321914,0.710546
-0.39576775,0.26768452,0.5290805
-0.36,0.0727475,0.53483605
-0.9850739,0.618844,1.139435
-0.008290811,1.3850504,0.6023049
-0.5416066,0.14362225,0.5371296
-0.77927357,0.32847726,0.63578707
-0.8210031,0.7250118,0.9158978
-0.6523417,0.6795524,0.5199931
0.121812336,1.2275236,0.66143835
-0.40746385,0.5097343,0.39642644
-0.36,0.0028011645,0.6449969
-0.6652646,0.53660953,1.2682865
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.36,0.15805572,0.5914844
-0.7833511,0.6580289,1.2816455
0.10607821,1.233943,0.65517586
-0.34605935,0.5501408,0.30312157
-0.3323517,0.7150023,0.8215287
-0.43791994,0.42948094,0.66073567
-0.5928687,0.54896605,-0.069880724
-0.8713261,0.48903912,0.74439776
-0.6363532,0.58728075,1.2964324
0.091109335,1.3615676,0.66642827
-0.40318036,0.60785645,0.27568206
-0.26250342,0.08037085,0.61779934
-0.9238991,0.58625424,0.7520774
-0.4255935,0.7118872,0.846858
-0.35345733,0.80529183,0.5935586
-0.5467193,0.4746952,0.5930572
-0.40860164,0.5377769,-0.25766152
-0.32164127,-0.19831961,-0.3651632
-0.788523,-0.7146966,-0.5925321
-0.3657577,-0.5053102,-0.35174227
-0.3854798,-0.6339272,-0.3999267
-0.2,0.50872517,0.0
-0.5163483,-0.015988693,-0.39468944
-0.053019546,0.9217757,0.07791154
-0.51119673,-0.56257457,-0.59578806
-0.71454436,-0.71866244,-0.517695
-0.4641393,-0.5355787,-0.3999028
-0.5310428,0.46277907,-0.33578488
-0.028672569,1.2621841,0.061479397
-0.38350055,-0.41651693,-0.39404368
-0.2,0.31237677,-0.19273312
-0.3924973,-0.037407055,-0.34548643
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.36,0.37910143,-0.2
-0.4463139,0.045662183,-0.35794613
-0.037322108,1.1298943,-0.084710956
-0.4838741,-0.53842705,-0.53892094
-0.23712748,0.6255199,-0.34986442
-0.5053762,-0.50965405,-0.45674503
-0.7624106,-0.8506677,-0.73374283
-0.7673516,-0.7080864,-0.56908447
-0.4532037,0.34272873,-0.29919076
-0.08129561,1.119436,-0.05321253
-0.26552516,-0.3164851,-0.2901063
-0.2,0.331627,-0.17981397
-0.26919484,0.58215743,-0.47095433
-0.38947955,0.46164465,-0.3200341
-0.3623009,0.5102272,-0.14622524
-0.49852955,-0.5523069,-0.5927163
-0.14421135,-0.69829655,-0.55007935
-0.21825771,-0.45868337,0.31075403
-0.09314099,-0.37089416,0.67198545
-0.20165214,-0.30538893,0.5562937
1.2292694,0.18258019,0.48243117
0.662473,-0.35840684,0.104402155
0.55567175,-0.30409187,1.4250764
-0.17993382,-0.2,0.31731877
-0.40896332,-0.61876607,-0.402146
-0.23711258,-0.4803673,0.550874
-0.69073176,-0.8389422,0.10913997
0.5260512,-0.76984644,-0.75570095
-0.24014501,-0.47705626,-0.44986558
1.280153,0.1344115,0.4230293
0.058901347,-0.6079308,0.4886551
0.3899362,0.12786096,1.3240873
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.17871185,-0.2199451,0.36630875
0.31831,0.025922015,1.1914165
-0.46392426,-0.5291621,0.07410316
1.294107,0.1886071,0.37355205
-0.15115221,-0.396,0.36290935
-0.12307498,-0.48807546,0.21603708
0.459023,-0.4301467,0.06522773
0.21495117,-0.4189902,0.7689215
0.3835147,0.1360466,1.2607903
-0.112711966,-0.22792795,0.19501694
1.1544031,0.11932884,0.5143123
0.058464304,0.0,0.5924025
-0.07365227,-0.4949134,0.47507378
-0.26156145,-0.396,0.058776535
0.6945088,-0.3085472,-0.31587613
0.06576747,-0.44751,0.6065421
0.7123696,-0.2956397,-1.5945768
0.57434595,-0.32693776,-2.2300591
0.5320142,-0.27751935,-0.88518625
0.48655564,-0.23920396,-0.33973733
1.2093803,0.0062488876,-0.23599999
0.3810683,0.0,-0.2
0.5497623,-0.47902253,-0.67824006
0.67205703,-0.082820766,-0.2
-0.05292958,-0.63951266,-1.4901179
0.03708063,-0.44893843,-0.36
0.3957466,-0.31212056,-1.3954731
0.69875395,-0.2183483,-1.1112705
0.5826053,0.0,-0.28784
1.187371,0.0,-0.36
0.516713,0.0,-0.7510752
0.52401394,-0.2,-0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.37622347,-0.2,-0.2
0.46551126,-0.2,-0.2
0.52972955,0.0,-0.36
1.4348273,-0.114356205,-0.59040004
0.08828764,-0.11309284,-1.033305
0.7007098,-0.1716653,-1.7086307
0.7283912,-0.332056,-2.2016208
0.20684479,-0.26613748,-1.2747624
0.5072573,0.0,0.0
0.59836364,-0.23130238,-0.49465442
1.0895671,-0.07583473,-0.2
0.4926764,0.0,-0.23599999
-0.028348327,-0.396,-0.96066564
0.6092544,-0.53041184,-1.0645866
0.8324708,-0.2122589,-0.887978
0.67522746,-0.37253442,-1.4884193
-1.5939662,-0.30789006,0.49683756
-0.659254,-0.58808,0.4391404
-1.4081749,-0.349317,0.08605579
-1.8270631,-0.31696,0.730484
-0.3191024,-0.19817533,0.53295285
-0.36,-0.2,0.24427098
-0.6552,-0.14550051,1.0196548
-0.63589954,-0.2975028,0.49917915
-1.8998315,-0.90076,-0.4901311
-1.2190942,-0.6728281,-0.042633638
-1.2399945,-0.29160193,0.392824
-2.7465978,-0.30606765,0.5109874
-0.48800004,-0.26539367,0.5741897
-0.6906195,0.0,0.4783859
-0.44784,-0.396,-0.21679729
-0.2,-0.12995997,1.3609923
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.2,-0.2,0.21619031
-0.67232,-0.10191411,1.2528079
-0.45535964,-0.27100894,0.6357695
-0.2,-0.2,0.4248271
-2.00272,-0.31157836,0.13804561
-1.159985,-0.38460523,0.2940508
-0.77575964,-0.8157003,0.18303499
-1.6200063,-0.325987,0.7116956
-0.2,-0.043996975,1.382484
0.0,-0.2426735,0.6523816
-0.5008959,-0.262999,0.5457393
-0.2,-0.2,0.46694958
-2.2574651,-0.2,0.6683136
-0.68556094,-0.23095742,0.71771795
-1.0547676,-0.36355293,0.60555434
-1.0304172,-0.86404616,0.4739981
-2.3876135,-2.4635806,-2.5536067
-2.5216508,-2.7305665,-2.5931876
-2.1550622,-2.309776,-2.1672978
-2.5521767,-2.6135743,-2.4679942
-0.518112,-0.2,-0.23599999
-0.36,-0.2,-0.2
-0.5528,-0.58808,-0.50486404
-0.800624,-0.7763184,-0.67232
-3.003809,-3.0486467,-2.9700246
-3.4221387,-3.4540796,-3.4962468
-3.2714062,-3.1685245,-3.2095246
-3.1725643,-3.1708796,-3.2561069
-0.689184,-0.7763184,-0.81200004
-0.506736,-0.58808,-0.48800004
0.0,0.0,0.0
-0.48800004,-0.58808,-0.4536
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
-0.2,-0.2,-0.29535967
-0.59040004,-0.58808,-0.529776
-1.2164541,-1.3155978,-1.1865968
-0.7352327,-0.58808,-0.59040004
-2.6176186,-2.4558337,-2.5802715
-2.551626,-2.4635806,-2.5841937
-2.648308,-2.614309,-2.619907
-2.8022406,-2.7259288,-2.8103073
-0.59040004,-0.58808,-0.7440015
-0.830432,-0.960792,-0.94722176
-0.76009595,-0.7763184,-0.67232
-0.2,-0.2,0.0
-2.6387787,-2.6032174,-2.72121
-2.7420404,-2.614309,-2.6816804
-2.7391024,-2.762023,-2.856183
-2.758508,-2.8994937,-2.824065
